from,to,volume,TT,TSTT:,327150.7594
1849702071,6344820621,0,0.050042,,
1849702071,1849702080,0,0.077095,,
6344820621,135233327,0,0.054129,,
6344820621,6344820622,0,0.027294,,
1849702072,1849702071,0,0.06346,,
1849702072,1849702080,0,0.095964,,
3577738501,3577738509,0,0.034792,,
3577738509,3577738533,0,0.040969,,
3577738509,1849702072,0,29.256562,,
3577738533,3577738536,0,0.010488,,
3577738536,3577738501,0,0.031821,,
3577738536,7255005662,0,12.009106,,
7255005662,7255005653,0,0.230121,,
7255005662,7255005664,0,0.020396,,
6344820617,1849702071,0,0.02927,,
6344820617,3577738533,0,29.322901,,
6344820618,6344820621,0,0.046678,,
6344820618,135233327,0,0.091423,,
6344820622,6344820617,0,0.017665714,,
7255005540,7255005569,0,2.112882,,
7255005540,7255005552,0,0.038045,,
7255005569,7255005585,0,0.20216,,
7255005569,7255005572,0,0.027151,,
7255005552,7255005545,0,0.016655,,
7255005545,8074831382,0,11.991676,,
7255005545,7255005557,0,0.040454,,
8074831382,8074831375,0,0.015912,,
7255005557,7255005540,0,0.01121,,
7255005585,7255005594,0,0.092496,,
7255005572,7255005581,0,0.114095,,
7255005581,7255005552,0,2.036949,,
7255005582,7255005585,0,0.0329,,
7255005582,7255005572,0,0.209345,,
7255005594,7255005610,0,2.068516,,
7255005610,7255005611,0,0.016356,,
7255005611,7255005651,0,2.778721,,
7255005611,7255005624,0,0.038053,,
7255005651,7255005664,0,0.227182,,
7255005651,7255005653,0,0.019098,,
7255005624,7255005616,0,0.010906,,
7255005616,7255005582,0,2.154575,,
7255005616,7255005610,0,0.03823,,
7255005664,7255005672,0,0.103791,,
7255005653,7255005661,0,0.107188,,
7255005661,7255005624,0,2.663427,,
7255005672,3577738501,0,11.897694,,
626720452,7515770427,0,4.552107,,
626720452,2415136332,0,0.04747,,
7515770427,7515770426,0,0.730003,,
7515770427,674646255,0,0.226646,,
2415136332,7865969494,0,1.379954,,
2415136332,626720452,0,0.048855,,
631708660,631708707,0,2.228465,,
631708660,2042794283,0,0.053858,,
631708707,4872406045,0,2.115097,,
631708707,7865979698,0,0.05931,,
2042794283,4777503145,0,5.263227,,
2042794283,631708660,0,0.05192,,
4872406045,7865981953,0,3.679779,,
4872406045,2042794119,0,0.046121,,
7865979698,2042794283,0,2.227694,,
7865979698,631708707,0,0.05542,,
631709219,6657465834,74.32915677,3.325965912,,
631709219,7866005662,0,0.049983,,
6657465834,631709236,74.32915677,0.023291013,,
7866005662,2379518826,34.01607425,3.680689093,,
7866005662,631709219,0,0.056506,,
631709236,631709251,74.32915677,2.413086387,,
631709236,1804304508,0,0.032641,,
631709251,1804304770,74.32915677,0.554037318,,
631709251,7865977882,0,0.029634,,
1804304508,1804304457,34.01607425,0.023909001,,
1804304770,7865955676,74.32915677,3.974729285,,
1804304770,1804304773,0,0.044266,,
7865977882,1804304670,0,0.01338,,
7865977882,7865977877,0,0.023695,,
674646255,7515755579,0,0.050554,,
7515770408,7515770407,0,0.202173,,
7515755579,7515755580,0,0.004876,,
1759908861,4872587990,0,1.701983,,
1759908861,7098334880,0,0.041711,,
4872587990,7865962061,0,2.249241,,
4872587990,7865985459,0,0.045532,,
7098334880,7865957421,0,5.172518,,
7098334880,7098334881,0,0.037093,,
1759908920,1804304267,74.32915677,1.846288061,,
1759908920,1804718931,0,0.062821,,
1804304267,2379518824,74.32915677,4.168358396,,
1804304267,1804304265,0,0.049868,,
1804718931,2409220090,0,2.229809,,
1804718931,1759908920,74.32915677,0.060954035,,
1804304265,1804718931,34.01607425,1.854804047,,
1804304265,1804304267,0,0.049809,,
2379518824,631709219,74.32915677,3.681857116,,
2379518824,2379518826,0,0.052174,,
1804304457,7866005662,34.01607425,3.324957084,,
1804304457,6657465834,0,0.031959,,
1804304655,7866020391,0,0.012666,,
1804304655,1804304508,34.01607425,2.403117061,,
7866020391,631709251,0,0.032854,,
1804304670,7865977877,34.01607425,0.016069,,
7865977877,1804304655,34.01607425,0.01208,,
7865977877,7866020391,0,0.021907,,
7865955676,7866015820,74.32915677,3.986222291,,
7865955676,7865955677,0,0.073389,,
1804304773,1804304770,0,0.044322,,
1804304773,1804304670,34.01607425,0.535460013,,
2409220090,7865962057,0,1.639417,,
2409220090,2409220065,0,0.04586,,
1834496488,7865955677,34.01607425,3.9824601,,
1834496488,7866015820,0.811503047,0.056293,,
7865955677,1804304773,34.01607425,3.9851171,,
7865955677,7865955676,0,0.07488,,
7866015820,631709876,75.14065982,26.9853532,,
7866015820,1834496488,0,0.059938,,
2042794119,7865979698,0,2.113057,,
2042794119,4872406045,0,0.0444,,
4777503145,7515770472,0,0.122633,,
4777503145,7515770461,0,0.090204,,
2379518826,1804304265,34.01607425,4.176259105,,
2379518826,2379518824,0,0.052157,,
2409220065,1759908920,0,2.248795,,
2409220065,2409220090,0,0.047162,,
7865962057,7865985459,0,2.235172,,
7515770472,2415136332,0,3.959891,,
7515770461,7515770472,0,0.101949,,
7865981953,7515750573,0,4.809622,,
7865981953,7865981955,0,0.055308,,
7865962061,2409220065,0,1.637338,,
7865985459,7098334880,0,1.718406,,
7865985459,4872587990,0,0.049549,,
7865957421,7515750568,0,2.683253,,
7865957421,7865957423,0,0.054261,,
7098334881,1759908861,0,0.025309,,
7515750568,7865981955,0,4.807004,,
7515750568,7515750573,0,0.053563,,
7865981955,2042794119,0,3.677811,,
7865981955,7865981953,0,0.05124,,
7515750573,7515750575,0,0.011716,,
7515750575,7865957423,0,2.685351,,
7515750575,7515750568,0,0.046047,,
7865957423,7098334881,0,5.16942,,
7865957423,7865957421,0,0.056013,,
7515755572,7515755576,0,0.018147,,
7515755572,7515770393,0,0.020048,,
7515755576,7515755584,0,0.009067,,
7515770393,7515755576,0,0.021776,,
